x,y,z,vx,vy,vz,pressure,type
6.05918388e-04,3.81104164e-04,-1.26398989e-03,1.91159401e-02,-8.68549880e-04,-2.25653098e-03,1.24828797e+03,0
7.55344979e-04,4.34286142e-04,-1.19115233e-03,1.23668565e-02,-3.34108903e-02,1.22586390e-02,9.49031770e+02,0
9.03771004e-04,4.82957930e-04,-1.08173250e-03,-2.69367150e-02,-2.83739612e-03,1.05777693e-02,7.25420833e+02,0
-1.18141094e-03,5.82862301e-04,-7.89407845e-04,7.98347691e-03,-1.67150238e-02,1.69485443e-02,0.00000000e+00,0
-1.17367680e-03,4.97405401e-04,-7.93886339e-04,-9.12666636e-03,-1.03389489e-02,1.61966393e-03,7.82753637e+02,0
-1.03761277e-03,6.97674217e-04,-9.62276949e-04,7.80274825e-03,1.37570475e-02,1.20365483e-02,0.00000000e+00,0
-9.12740439e-04,6.02777323e-04,-1.08731973e-03,-1.51449166e-02,3.35269482e-02,2.56060259e-03,1.38794964e+03,0
-7.82178920e-04,5.93367927e-04,-1.18141276e-03,-6.67949098e-03,-1.96671769e-02,-3.83194051e-02,1.09870684e+03,0
-6.41289384e-04,5.26865364e-04,-1.26634462e-03,1.58712176e-03,-8.45293863e-03,1.54436683e-02,0.00000000e+00,0
-5.64051903e-04,4.92870637e-04,-1.30132521e-03,-2.44668643e-02,1.11529168e-02,1.21043725e-02,0.00000000e+00,0
-4.21092439e-04,5.11598046e-04,-1.36215926e-03,2.39140136e-02,-4.81606991e-03,3.00882818e-02,0.00000000e+00,0
-4.98529621e-04,5.49385424e-04,-1.33116961e-03,8.12049105e-03,-1.33013568e-02,-1.21368239e-02,7.31657135e+02,0
-4.31281072e-04,5.97297677e-04,-1.35408453e-03,1.94713723e-02,-2.95752601e-02,-1.36057005e-02,7.19803620e+02,0
-2.00278042e-04,5.82414423e-04,-1.40774937e-03,-6.08904502e-03,3.48186108e-02,1.07591258e-02,8.65787293e+02,0
-2.90075633e-05,5.93678173e-04,-1.42113110e-03,3.99208276e-03,4.96683102e-02,1.88434603e-03,0.00000000e+00,0
4.25089045e-05,5.44408666e-04,-1.42547540e-03,-6.66894138e-03,4.73180167e-02,-7.20169728e-03,0.00000000e+00,0
1.17194913e-04,5.76040475e-04,-1.42144226e-03,7.70788209e-03,1.58124185e-02,3.23584144e-02,0.00000000e+00,0
1.36671953e-04,6.56810428e-04,-1.41827433e-03,-2.31576947e-03,2.09514146e-03,-1.00254316e-02,0.00000000e+00,0
5.12497913e-04,5.78882982e-04,-1.32399407e-03,4.14497500e-03,3.50995665e-02,-2.08577951e-02,1.12857649e+03,0
4.47048391e-04,6.51533743e-04,-1.35042630e-03,6.35732868e-03,6.97051887e-03,6.58634712e-03,0.00000000e+00,0
5.49360383e-04,4.29039394e-04,-1.29629607e-03,3.92542791e-02,1.54962925e-02,-2.37026751e-02,1.40735512e+03,0
5.75735158e-04,5.13139347e-04,-1.29322919e-03,5.42676483e-03,3.60788674e-02,-3.43209040e-02,1.36982562e+03,0
8.54087267e-04,5.33343452e-04,-1.12975832e-03,1.03325889e-02,-1.63168981e-02,3.45520260e-02,0.00000000e+00,0
8.08491240e-04,5.97349414e-04,-1.16514217e-03,3.13179520e-02,2.61845818e-03,5.40862985e-03,7.61145684e+02,0
-1.22896306e-03,7.05262842e-04,-6.97583177e-04,-5.42252707e-02,5.55086591e-03,6.44573447e-03,1.22896529e+03,0
-1.13898193e-03,6.26219883e-04,-8.49434443e-04,-2.37470830e-02,-1.18232407e-02,6.02940051e-03,1.29811856e+03,0
-1.09046518e-03,6.59992373e-04,-9.09167647e-04,-1.88612878e-02,3.32534806e-02,-6.60302856e-03,1.30502571e+03,0
-9.75719031e-04,5.67273060e-04,-1.03547550e-03,-1.83239192e-02,9.80727909e-03,-1.60621350e-02,1.36734846e+03,0
-7.13443261e-04,5.59876925e-04,-1.22644729e-03,-1.83198055e-02,-5.39003444e-02,-3.65596838e-02,8.86195326e+02,0
-5.73761876e-04,5.80061158e-04,-1.29531828e-03,-1.71212988e-02,6.54278646e-04,-2.16086046e-02,8.26856232e+02,0
-5.82315930e-04,6.67292509e-04,-1.28562274e-03,-1.94608169e-02,1.97135544e-02,2.16726976e-02,1.08578366e+03,0
-5.09787636e-04,6.35338168e-04,-1.32176363e-03,-1.38255470e-02,-4.67824377e-03,-1.97106455e-02,8.77375389e+02,0
-4.38708367e-04,6.80529003e-04,-1.34505362e-03,1.57055372e-02,-5.24965481e-03,-8.52124433e-03,0.00000000e+00,0
